Pod,Unix Timestamp,Memory Usage
adservice-one,1740681008,321064960
adservice-one,1740681068,46841856
adservice-one,1740681128,325890048
adservice-one,1740681188,49491968
adservice-one,1740681248,269639680
adservice-one,1740681308,333541376
adservice-one,1740681368,48869376
adservice-one,1740681428,48947200
adservice-one,1740681488,346132480
adservice-one,1740681548,48910336
adservice-one,1740681608,48963584
adservice-one,1740681668,47988736
adservice-one,1740681728,324849664
adservice-one,1740681788,49061888
adservice-one,1740681848,49385472
adservice-one,1740681908,49385472
adservice-one,1740681968,48738304
adservice-one,1740682028,48738304
adservice-one,1740682088,274931712
adservice-one,1740682148,361902080
adservice-one,1740682208,49147904
adservice-one,1740682268,48214016
adservice-one,1740682328,48214016
adservice-one,1740682388,48214016
adservice-one,1740682448,48214016
adservice-one,1740682508,343224320
adservice-one,1740682568,49184768
adservice-one,1740682628,48488448
adservice-one,1740682688,48488448
adservice-one,1740682748,48369664
adservice-one,1740682808,48373760
adservice-one,1740682868,48369664
adservice-one,1740682928,323559424
adservice-one,1740682988,49336320
adservice-one,1740683048,49516544
adservice-one,1740683108,48377856
adservice-one,1740683168,48381952
adservice-one,1740683228,47923200
adservice-one,1740683288,151580672
adservice-one,1740683348,340619264
adservice-one,1740683408,47927296
adservice-one,1740683468,47923200
adservice-one,1740683528,47927296
adservice-one,1740683588,47923200
adservice-one,1740683648,49049600
adservice-one,1740683708,320413696
adservice-one,1740683768,349442048
adservice-one,1740683828,48074752
adservice-one,1740683888,48074752
adservice-one,1740683948,48439296
adservice-one,1740684008,48578560
adservice-one,1740684068,48594944
adservice-one,1740684128,337412096
adservice-one,1740684188,49262592
adservice-one,1740684248,49262592
adservice-one,1740684308,48865280
adservice-one,1740684368,48865280
adservice-one,1740684428,48865280
adservice-one,1740684488,272248832
adservice-one,1740684548,49131520
adservice-one,1740684608,49528832
adservice-one,1740684668,49590272
adservice-one,1740684728,48824320
adservice-one,1740684788,48824320
adservice-one,1740684848,310767616
adservice-one,1740684908,332640256
adservice-one,1740684968,49442816
adservice-one,1740685028,48848896
adservice-one,1740685088,48857088
adservice-one,1740685148,48852992
adservice-one,1740685208,48848896
adservice-one,1740685268,324603904
adservice-one,1740685328,50532352
adservice-one,1740685388,50241536
adservice-one,1740685448,50241536
adservice-one,1740685508,49029120
adservice-one,1740685568,49029120
adservice-one,1740685628,49029120
cartservice-one,1740681008,75735040
cartservice-one,1740681068,77950976
cartservice-one,1740681128,78893056
cartservice-one,1740681188,78663680
cartservice-one,1740681248,78929920
cartservice-one,1740681308,79314944
cartservice-one,1740681368,79929344
cartservice-one,1740681428,80523264
cartservice-one,1740681488,80171008
cartservice-one,1740681548,79765504
cartservice-one,1740681608,79777792
cartservice-one,1740681668,80769024
cartservice-one,1740681728,79986688
cartservice-one,1740681788,80420864
cartservice-one,1740681848,79638528
cartservice-one,1740681908,80322560
cartservice-one,1740681968,80715776
cartservice-one,1740682028,80363520
cartservice-one,1740682088,79826944
cartservice-one,1740682148,79613952
cartservice-one,1740682208,80089088
cartservice-one,1740682268,81182720
cartservice-one,1740682328,80654336
cartservice-one,1740682388,80101376
cartservice-one,1740682448,80015360
cartservice-one,1740682508,80392192
cartservice-one,1740682568,80302080
cartservice-one,1740682628,80789504
cartservice-one,1740682688,80285696
cartservice-one,1740682748,80293888
cartservice-one,1740682808,80445440
cartservice-one,1740682868,80347136
cartservice-one,1740682928,80515072
cartservice-one,1740682988,80596992
cartservice-one,1740683048,80375808
cartservice-one,1740683108,80822272
cartservice-one,1740683168,80080896
